workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,baseline,4114.0,24307.243558580456,20384.0,41.068583202511775,32.0,18431.0,50.0,84.0,20384.0,29533.0,8,650
workloada,baseline,4206.0,23775.558725630053,20672.0,42.008175309597526,25.0,22799.0,58.0,93.0,20672.0,29467.0,8,650
workloada,alaska,3805.0,26281.208935611037,20483.0,37.51989454669726,27.0,1715.0,44.0,72.0,20483.0,29601.0,16,650
workloada,alaska,3545.0,28208.744710860366,20372.0,35.95577262909876,26.0,15799.0,51.0,84.0,20372.0,29652.0,16,650
workloada,baseline,4145.0,24125.452352231605,20498.0,40.424821933847205,33.0,444.0,51.0,80.0,20498.0,29335.0,16,650
workloada,baseline,4183.0,23906.28735357399,20621.0,40.54560884535183,31.0,491.0,54.0,85.0,20621.0,29342.0,16,650
workloada,alaska,4287.0,23326.335432703523,20483.0,42.74554508616902,33.0,14551.0,53.0,87.0,20483.0,29465.0,32,650
workloada,alaska,4242.0,23573.785950023575,20394.0,43.061537707168775,33.0,28703.0,52.0,91.0,20394.0,29565.0,32,650
workloada,baseline,4808.0,20798.66888519135,20512.0,47.52145085803432,34.0,9471.0,53.0,83.0,20512.0,29485.0,32,650
workloada,baseline,4843.0,20648.35845550279,20458.0,47.39588425065989,38.0,442.0,59.0,92.0,20458.0,29722.0,32,650
workloada,alaska,5129.0,19496.977968414896,20539.0,50.50435756365938,41.0,1564.0,65.0,94.0,20539.0,29146.0,1,750
workloada,alaska,4299.0,23261.223540358224,20553.0,44.083880698681455,35.0,17999.0,55.0,90.0,20553.0,29631.0,1,750
workloada,baseline,4224.0,23674.242424242424,20466.0,41.29776214208932,32.0,583.0,51.0,83.0,20466.0,29270.0,1,750
workloada,baseline,4168.0,23992.32245681382,20573.0,41.270597384921984,32.0,10903.0,59.0,92.0,20573.0,29471.0,1,750
workloada,alaska,3970.0,25188.91687657431,20549.0,38.75546255292228,28.0,452.0,48.0,91.0,20549.0,29541.0,2,750
workloada,alaska,3470.0,28818.44380403458,20598.0,34.315467521118556,27.0,512.0,49.0,88.0,20598.0,29551.0,2,750
workloada,baseline,4252.0,23518.344308560678,20502.0,42.36972002731441,33.0,15791.0,52.0,91.0,20502.0,29692.0,2,750
workloada,baseline,4066.0,24594.195769798327,20512.0,40.3978159126365,32.0,22335.0,54.0,84.0,20512.0,29550.0,2,750
workloada,alaska,3470.0,28818.44380403458,20223.0,35.770607723878754,26.0,23071.0,52.0,83.0,20223.0,29576.0,4,750
workloada,alaska,4108.0,24342.745861733205,20554.0,41.455531769971785,28.0,22831.0,52.0,79.0,20554.0,29483.0,4,750
workloada,baseline,4116.0,24295.432458697764,20530.0,42.136580613735994,26.0,22559.0,63.0,85.0,20530.0,29666.0,4,750
workloada,baseline,3434.0,29120.559114735002,20434.0,34.04825291181364,24.0,10831.0,44.0,82.0,20434.0,29638.0,4,750
workloada,alaska,3382.0,29568.30277942046,20768.0,34.5900905238829,28.0,22383.0,51.0,78.0,20768.0,29571.0,8,750
workloada,alaska,4187.0,23883.44877000239,20396.0,41.89816630711904,33.0,14431.0,54.0,85.0,20396.0,29384.0,8,750
workloada,baseline,3258.0,30693.677102516882,20719.0,32.90207056325112,25.0,23119.0,41.0,71.0,20719.0,29178.0,8,750
workloada,baseline,3844.0,26014.568158168575,20419.0,38.020030363876785,24.0,14231.0,49.0,82.0,20419.0,29352.0,8,750
workloada,alaska,4477.0,22336.38597274961,20695.0,44.94433438028509,34.0,10751.0,59.0,100.0,20695.0,29524.0,16,750
workloada,alaska,4085.0,24479.804161566706,20547.0,41.441670316834575,32.0,22367.0,48.0,77.0,20547.0,29473.0,16,750
workloada,baseline,4602.0,21729.6827466319,20329.0,44.91278469181957,33.0,438.0,52.0,89.0,20329.0,29586.0,16,750
workloada,baseline,4316.0,23169.601482854494,20526.0,43.13305076488356,34.0,22719.0,51.0,81.0,20526.0,29227.0,16,750
workloada,alaska,4183.0,23906.28735357399,20595.0,41.47778587035688,32.0,7203.0,58.0,90.0,20595.0,29501.0,32,750
workloada,alaska,3525.0,28368.794326241135,20493.0,36.04323427511833,27.0,18223.0,47.0,87.0,20493.0,29404.0,32,750
workloada,baseline,4316.0,23169.601482854494,20553.0,43.802802510582396,32.0,22511.0,51.0,77.0,20553.0,29592.0,32,750
